day,label,is_class,start,end
monday,Period 2,1,08:10,08:48
monday,Period 3,1,08:52,09:30
monday,Nutrition Break,0,09:30,09:38
monday,Period 4,1,09:40,10:18
monday,Period 5,1,10:22,11:00
monday,Lunch,0,11:05,11:35
monday,Period 6,1,11:40,12:18
monday,Period 7,1,12:22,13:00
tue-fri,Study Skills/ELD,1,08:10,08:40
tue-fri,Period 2,1,08:45,09:35
tue-fri,Period 3,1,09:40,10:30
tue-fri,Nutrition Break,0,10:35,10:40
tue-fri,Period 4,1,10:45,11:35
tue-fri,Period 5,1,11:40,12:30
tue-fri,Lunch,0,12:35,13:05
tue-fri,Period 6,1,13:10,14:00
tue-fri,Period 7,1,14:05,14:55
